﻿end015_1,Life is impermanent and constantly changing; home can be found wherever you discover peace of mind.,ชีวิตเป็นสิ่งไม่เที่ยงและเปลี่ยนแปลงตลอดเวลา ทุกสถานที่ที่เจ้าสบายใจล้วนสามารถเป็นบ้านได้
Role1-1_13_7,"You can easily possess immense wealth, and assert dominance over others.",เจ้าสามารถครอบครองความมั่งคั่งนับพันล้านได้อย่างง่ายดาย และยืนหยัดเหนือมวลชนได้อย่างง่ายดาย
Role1-1_13_8,"When you can obtain political power, wealth, and strength with ease,",เมื่อได้รับอำนาจ ความมั่งคั่ง และความแข็งแกร่งอยู่แค่เพียงปลายนิ้วสัมผัส
Role1-1_13_9,You realize that the martial arts world no longer holds any attraction for you.,เจ้าพบว่ายุทธภพไม่มีน่าสนใจพอสำหรับเจ้าอีกต่อไป
Role1-1_13_10,Therefore...,ดังนั้น...
Role1-1_14_1,Can we go now?,พวกเราไปได้หรือยัง?
Role1-1_14_2,"How could you kill her, how am I supposed to explain this when I go back...",เจ้าฆ่านางได้เยี่ยงไร! ข้าจะอธิบายเรื่องนี้ยังไงเมื่อข้ากลับไปเนี่ย...
Role1-1_14_3,"No one can guarantee that she won't break free and hurt people, that would be troublesome.",ไม่มีผู้ใดรู้ว่าว่านางจะหลุดออกมาทำร้ายผู้คนไหม ถ้าเป็นแบบนั้นละยุ่งแน่
Role1-1_14_4,"That being said, the purpose of the Crime Investigation Bureau is to capture criminals, not to end their lives.",อย่างที่บอกไปแล้ว รูปแบบการทำงานของสำนักเทพมือปราบของเราคือการจับกุมอาชญากร ไม่ใช่สังหารพวกเขา...
Role1-1_14_5,"Consider yourself lucky to have met me, stop complaining, let's find a place to treat your wounds first.",โชคดีแค่ไหนแล้วที่ได้เจอข้า เลิกบ่น แล้วหาที่รักษาบาดแผลกันก่อนเถอะ
Role1-1_14_6,"Supporting the constable's arm, the two of you hobble your way to the temple. Though it's a bit run-down and sparsely furnished, it will serve as a temporary respite.",เจ้าช่วยพยุงมือปราบเดินไปตลอดทาง และในที่สุดก็มาถึงศาลเจ้าร้าง แม้ว่ามันจะทรุดโทรมไปบ้าง แต่อย่างน้อยก็ใช้พักแรมในตอนนี้ได้
Role1-1_15_1,"Since you're unwilling to help, I won't bother you anymore!",ในเมื่อเจ้าไม่ยอมช่วยข้า ข้าจะไม่รบกวนเจ้าอีกต่อไป!
Role1-1_16_1,"Thank you, wanderer. Though I'm injured, it's not fatal. There's an abandoned temple nearby where I can rest for a few days. Once I recover I'll be fine.",ขอบคุณจอมยุทธน้อย แม้ข้าจะบาดเจ็บ แต่ก็ไม่ได้ร้ายแรงอันใด แถวนี้มีศาลเจ้าร้างอยู่ใกล้ๆ ให้ข้าพักผ่อนที่นั่นสักสองสามวันก็คงดีขึ้น
Role1-1_16_2,"But we can't just leave this criminal here! If she escapes, who knows how many innocent people will suffer.",แต่ว่าเราไม่สามารถปล่อยนางหัวขโมยไว้ที่นี่ได้ หากนางหนีไป ไม่รู้ว่าต้องมีผู้บริสุทธิ์อีกกี่คนที่ต้องเดือดร้อน
Role1-1_16_3,"What should we do, do you have any ideas?",เช่นนั้นจะทำอย่างไรดี ท่านคิดเห็นว่าอย่างไร?
Role1-1_16_4,Can you please tie her up? We'll bring her with us to the abandoned temple.,ช่วยมัดนางไว้ได้ไหมจอมยุทธน้อย? เราจะพานางไปที่ศาลเจ้าร้างด้วยกัน
Role1-1_16_5,"I'd be grateful if you could assist in keeping an eye on her while I rest. Once I'm back on my feet, I'll handle her return myself, and there will be a reward in it for you.",ข้าจะขอบคุณมากหากเจ้าช่วยจับตาดูนางในขณะที่ข้ากำลังรักษาตัว เมื่อหายดีแล้ว ข้าจะพานางกลับไป และจะมีรางวัลสำหรับเจ้าด้วย
