﻿R10136-0_1_1,"I'm a person of ill omen, you'd better stay away from me.",ข้าคือผู้ที่จะนำโชคร้ายมาให้ เจ้าควรอยู่ให้ห่างจากข้าจะดีกว่า
R10136-4_2_5,"The execution of a high-ranking official and his family, supervised by a prince and a Special Envoy from Yan country, is strange in every way. I wanted to save the people first and ask questions later.",การประหารชีวิตขุนนางชั้นสูงและครอบครัวภายใต้การดูแลของท่านอ๋องและทูตพิเศษจากแคว้นเยี่ยนนั้นเป็นเรื่องแปลกประหลาดอย่างยิ่ง ข้าต้องการช่วยเหลือผู้คนก่อนแล้วค่อยถามถึงต้นตอของเรื่องนี้ในภายหลัง
R10136-4_2_6,"However, who would have thought that these cunning old foxes had set a trap to catch me, and those Prisoners were all impersonators.",อย่างไรก็ตาม ใครจะคิดว่าจิ้งจอกเฒ่าเจ้าเล่ห์พวกนั้นได้วางกับดักไว้เพื่อล่อข้าออกมา และนักโทษเหล่านั้นก็ล้วนเป็นเป็นตัวปลอมทั้งสิ้น
R10136-4_2_7,The trap they set was originally for me.,เดิมทีกับดักนั้นเตรียมไว้สำหรับข้า
R10136-4_2_8,You? Why would they capture you?,เจ้า? เหตุใดพวกเขาจึงต้องการจับกุมเจ้ากันล่ะ?
R10136-4_2_9,The official Ji was my father.,เสนาบดีจี้ ก็คือบิดาของข้า
R10136-4_2_10,"So you are the daughter of Mr. Ji, I'm sorry for my rudeness.\nMy name is {PlayerName}, may I ask for your name, miss?","ที่แท้ก็เป็นบุตรีของใต้เท้าจี้ ขออภัยที่ข้าเสียมารยาท\nข้าชื่อ{PlayerName} ขอทราบชื่อของแม่นางได้หรือไม่?"
R10136-4_2_11,Ji Fuling.,จี้ฝูหลิง
R10136-4_2_12,"I didn't ask you to stand up for the Ji family, don't expect me to thank you.",ข้ามิได้ขอร้องให้เจ้าช่วยเหลือตระกูลจี้ ดังนั้นจงอย่าคาดหวังคำขอบคุณจากข้า
R10136-4_3_1,What's the connection between the Ji family that was executed outside Da Liang City and the graves here?,ความเกี่ยวโยงระหว่างตระกูลจี้ที่ถูกประหารชีวิตนอกเมืองต้าเหลียงกับหลุมศพที่นี่คืออันใดกัน?
R10136-4_3_2,"Those people were just unrelated dead Prisoners, originally intended to lure out the fish that slipped through the net.",คนเหล่านั้นเป็นเพียงนักโทษประหารชีวิตที่ไม่มีความเกี่ยวข้องอันใด จุดประสงค์คือล่อปลาที่หลุดรอดจากแหออกมา
R10136-4_3_3,"The real Ji family, more than ten people, were secretly executed long ago. I set up this grave here so that their souls have a place to rest.",ตระกูลจี้ตัวจริงกว่าสิบชีวิต ถูกประหารชีวิตอย่างลับๆ มานานแล้ว ข้าได้สร้างหลุมศพนี้ไว้ที่นี่เพื่อให้วิญญาณของพวกเขาได้มีที่พักผ่อน
R10136-4_3_4,"What kind of deep hatred is this, not only secretly executing them, but also setting up a trap to catch them all. This is clearly a complete extermination.",ความจงเกลียดจงชังนี้มันอะไรกัน ไม่เพียงแต่การประหารชีวิตพวกเขาอย่างลับๆเท่านั้น แต่ยังวางกับดักเพื่อจับคนที่เหลือรอดทั้งหมดอีกด้วย นี่มันเป็นการฆ่าล้างตระกูลชัดๆ
R10136-4_3_5,"I also wanted to understand the reason, so I sneaked into the Da Liang Government Office several times at night. I didn't expect to be exposed and fall into an ambush.",ข้าเองก็อยากรู้เหตุผลเช่นกัน จึงลอบเข้าไปในที่ว่าการเมืองต้าเหลียงหลายครั้งในตอนกลางคืน ข้าไม่คาดคิดว่าจะถูกพบร่องรอยและถูกซุ่มโจมตีเสียได้
R10136-4_3_6,"When I was besieged at the Government Office, I didn't ask you to block the Constable's knife for me, don't expect me to thank you.",ตอนที่ข้าถูกล้อม ข้าไม่ได้ขอให้เจ้าช่วยรับมือกับมือปราบเหล่านั้น อย่าคาดหวังว่าข้าจะขอบคุณเจ้าล่ะ
