﻿M5003-4_1_1_1,I didn't expect there to be a Tea Stall here... ,ข้าไม่คิดว่าจะมีร้านชาอยู่ที่นี่...
M5003-5_3_3,I hope I'm just overthinking... you'd better stay away from him.,ข้าหวังว่าแค่คิดมากไป... เจ้าควรอยู่ห่างๆ มันไว้ดีกว่า
M5003-5_3_4,But this guy took my money!,แต่ขอทานผู้นี้มันเอาเงินของข้าไปนะ!
M5003-5_3_5,"This beggar is not bad at all, I'm seriously injured now, and I'm not his opponent, if you want to live, you'd better leave now.",ขอทานผู้นี้ไม่ธรรมดาเลย ตอนนี้ข้าบอบช้ำภายใน ไม่ใช่คู่ต่อกรของเขา หากยังอยากมีชีวิตอยู่ รีบจากไปเสีย
M5003-5_3_6,Learn from your mistakes and be more careful in the future.,ความผิดพลาดครั้งนี้จะเป็นบทเรียนให้เจ้า จงจำไว้ให้ดี
M5003-5_3_7,This beggar is a mysterious expert? I'd better leave quickly... ,ขอทานผู้นี้... ไม่ใช่คนธรรมดาแน่! ข้าต้องรีบหนี...
M5003-5_4_1,"Alas, consider it as paying for a lesson... ",อนิจจา... คิดซะว่าเป็นการจ่ายค่าความรู้แล้วกัน
M5003-5_5_1,"Forget it, better stay away from that Beggar.",ช่างเถอะ อยู่ห่างๆ ขอทานนั่นคือดีที่สุด
M1600-5_1_1_1,"Amitabha, two benefactors, I am a monk from Shifa Temple, named Shi Yan. I heard that there is a Bandit Chief Stronghold causing trouble here, so I came to persuade them to lay down their weapons.",อมิตาพุทธ ประสกทั้งสอง อาตมาคือหลวงจีนจากอารามซื่อฟา มีนามว่าสือเหยียน ได้ยินมาว่าที่แห่งนี้มีค่ายหัวหน้าโจรคอยคุกคามผู้คน อาตมาจึงมาเพื่อชักชวนให้พวกเขาละทิ้งวิถีแห่งความรุนแรงและเข้าสู่หนทางแห่งสันติ
M1600-5_1_1_2,"But I am new here and don't know where this Bandit Chief Stronghold is. I happened to meet you two, do you know where it is and could you tell me?",แต่อาตมาเพิ่งมาถึงที่นี่ไม่นานนัก ยังไม่กระจ่างชัดว่าค่ายหัวหน้าโจรอยู่หนใด บังเอิญได้พบประสกทั้งสอง ประสกพอจะทราบข้อมูลบ้างหรือไม่ ขอวางใจบอกอาตมาเถิด
M1600-5_1_1_3,"Too bad you're late. If you came a few shichen earlier, you could have caught them in the act.",น่าเสียดายที่ท่านมาช้าไปก้าวเดียว ถ้ามาเร็วกว่านี้อีกสักหน่อย ท่านก็คงจะจับพวกมันได้คาหนังคาเขา
M1600-5_1_1_4,What!? Is that true?,อะไรกัน!? ประสกพูดจริงหรือ?
M1600-5_1_2_1,"Yes, but don't worry, master. Thanks to this young hero {PlayerName}, who fought off the bandits, we all escaped.","ใช่แล้ว แต่ท่านอาจารย์โปรดอย่าได้กังวลใจไปเลย ขอนับถือน้ำใจและเมตตาของท่านจอมยุทธ์ {PlayerName}\nที่ต่อกรกับโจรชั่ว พวกเราทุกคนจึงรอดมาได้"
M1600-5_1_2_2,"Haha, I was just lucky.",ฮ่าๆ ข้าแค่โชคดีเท่านั้นเอง
M1600-5_1_2_3,I see... How did you {PlayerSurName} deal with those bandits?,เข้าใจแล้ว... ประสก {PlayerSurName} จัดการกับพวกโจรเหล่านั้นได้อย่างไร?
M1600-5_2_1_1,Those people would harm others if they were alive. I have already Total Annihilation them.,สวะพวกนี้ หากไว้ชีวิต ย่อมเป็นภัยต่อผู้อื่น ข้าจึงลงมือตัดรากถอนโคนให้สิ้นซากไปแล้ว!
M1600-5_2_1_2,"Amitabha... Although those bandits have committed heavy sins, there is a virtue of life in heaven. {PlayerSurName}, you have taken their lives, how are you different from them?","อมิตาพุทธ... แม้เหล่าโจรจะก่อกรรมชั่วร้ายเพียงใด แต่ชีวิตย่อมมีค่าเสมอ\n{PlayerSurName} ท่านได้ดับลมหายใจของผู้อื่นไปแล้ว ท่านคิดหรือไม่ว่ากรรมอันหนักหน่วงนี้ จะส่งผลอย่างไรต่อจิตวิญญาณของท่าน?"
M1600-5_2_1_3,"Master, that's not how it went. The situation was urgent at the time, they were ruthless, and if I didn't fight for my life, I don't know how many people would have fallen into their hands.",พระอาจารย์ เหตุการณ์ขณะนั้นวิกฤตินัก พวกมันโหดเหี้ยมดุร้ายราวกับสัตว์ป่า หากข้ามิได้ต่อสู้เพื่อปกป้องตนเองและผู้อื่น พวกมันคงได้สังหารผู้บริสุทธิ์ไปมากมายแล้ว ผลลัพธ์คงเลวร้ายยิ่งกว่านี้
