﻿M2341-14_0_0_1,There is a lingering smell of white vinegar...,มีกลิ่นน้ำส้มสายชูขาวจางๆ ที่ไม่จางหายไป...
M2341-18_0_1_2,"But what's strange is... why are there so many bowls of rice already paired with dishes? Is this a separate meal? Nowadays, we generally eat together in Da Zhao, this separate meal system is quite retro...",แต่ที่น่าสงสัยยิ่งนักคือ... เหตุใดจึงมีชามข้าวมากมายที่จัดสำรับกับข้าวไว้พร้อมสรรพ? นี่เป็นการจัดสำรับอาหารแยกส่วนกระนั้นหรือ? ในแคว้นต้าจ้าวของข้าโดยทั่วไปล้วนเป็นการกินร่วมสำรับ การจัดสำรับอาหารแยกส่วนเช่นนี้ช่างดูโบราณยิ่งนัก...
M2341-18_0_1_3,"Wait, why are only these few bowls of rice paired with dishes? Who is this meant for?",ผิดสังเกตยิ่งนัก เหตุใดจึงมีเพียงชามข้าวเหล่านี้ที่จัดสำรับกับข้าวไว้พร้อม? นี่เป็นการจัดเตรียมไว้ให้ผู้ใดโดยเฉพาะกระนั้นหรือ?
M2341-18_0_1_4,Upon closer inspection... each bowl of rice paired with a dish also has a piece of raw meat on it. What does this mean?,เมื่อมองดูอย่างละเอียดถี่ถ้วน... บนชามข้าวที่จัดสำรับกับข้าวไว้พร้อมสรรพแต่ละชาม กลับมีเนื้อสดวางอยู่ด้วย นี่มันหมายความว่ากระไร?
M2341-18_0_2_1,"I've read about this in books, it's called the last meal.",ข้าเคยเห็นในตำรา นี่มันอาหารมื้อสุดท้ายก่อนถูกประหาร!
M2341-18_0_2_2,Last... last meal?,ม... มื้อสุดท้าย?
M2341-18_0_2_3,"The night before a death row prisoner is executed, a lavish last meal is prepared. A piece of raw meat is placed on the last meal, which is used to appease the Vicious dog by the bridge after the prisoner's death, allowing for a smooth reincarnation.",ในคืนก่อนที่นักโทษประหารจะถูกสำเร็จโทษ จะมีการจัดเตรียมอาหารลาโลกมื้อใหญ่อย่างหรูหรา บนอาหารจะวางเนื้อสดชิ้นหนึ่งไว้ ให้นักโทษหลังจากสิ้นชีพไป เมื่อข้ามสะพานยมโลก จะใช้เนื้อสดชิ้นนี้ปลอบประโลมสุนัขปีศาจที่เฝ้าสะพาน เพื่อให้ไปเกิดใหม่ได้อย่างราบรื่น
M2341-18_0_2_4,Who is this last meal for?,อาหารมื้อสุดท้ายนี้ จัดเตรียมไว้ให้ผู้ใดกันแน่?
M2341-18_0_2_5,"I don't know, maybe the Penglai Sect has some Prisoner who is about to be executed privately.",ข้าก็มิอาจคาดเดาได้ บางทีสำนักเผิงไหลอาจมีนักโทษที่กำลังจะถูกประหารอย่างลับๆ ก็เป็นได้
M2341-18_0_2_6,"I came up with an idea, if this is the feast of the Golden Basin Hand Washing Conference, serving this meal to someone, and when it is uncovered, it turns out to be a beheading meal. It's simply an astonishing public provocation.",ข้านึกแผนหนึ่งได้ หากนี่เป็นงานเลี้ยงในพิธีล้างมือในอ่างทองคำ ลองนำอาหารนี้ไปมอบให้ผู้ใดสักคน เมื่อเปิดออกมากลับกลายเป็นอาหารนักโทษประหารเช่นนี้ ช่างเป็นการท้าทายอย่างเปิดเผยนัก!
M2341-18_0_2_7,"I think so too, I even think this provocation deserves to be recorded in books and passed down to future generations.",ข้าก็เห็นเช่นนั้น ข้ายังคิดว่าการท้าทายนี้คู่ควรที่จะถูกจารึกไว้ในตำรา ให้เลื่องลือไปชั่วกาลนาน
M2341-18_0_3_1,"This is the last meal, the last meal prepared for death row prisoners the night before execution.",นี่คืออาหารลาโลก เป็นอาหารมื้อสุดท้ายที่จัดเตรียมไว้ให้แก่นักโทษประหารในคืนก่อนที่จะถูกประหาร
M2341-18_0_3_2,Last... last meal?,ม... มื้อสุดท้าย?
M2341-18_0_3_3,"The night before a death row prisoner is executed, a lavish last meal is prepared. A piece of raw meat is placed on the last meal, which is used to appease the Vicious dog by the bridge after the prisoner's death, allowing for a smooth reincarnation.",ในคืนก่อนที่นักโทษประหารจะถูกสำเร็จโทษ จะมีการจัดเตรียมอาหารลาโลกมื้อใหญ่อย่างหรูหรา บนอาหารจะวางเนื้อสดชิ้นหนึ่งไว้ ให้นักโทษหลังจากสิ้นชีพไป เมื่อข้ามสะพานยมโลก จะใช้เนื้อสดชิ้นนี้ปลอบประโลมสุนัขปีศาจที่เฝ้าสะพาน เพื่อให้ไปเกิดใหม่ได้อย่างราบรื่น
