﻿BuffEffect_OnEnable,{0} gains <#00FF00>{1}</color> status,{0} ได้รับ สถานะ <#00FF00>{1}</color> 
BuffInfo_招式燕返,
BuffInfo_招式一闪,
BuffInfo_翻江倒海,
BuffInfo_风起浪涌,
BuffInfo_招式顾盼生姿,
BuffInfo_招式煞冲霄汉,
BuffInfo_招式天道无常,Attack damage fluctuates between 50%-100%.
BuffInfo_招式阴晴圆缺,Action Speed-15%
BuffInfo_招式神游物外,
BuffInfo_招式烈焰滔滔,
BuffInfo_招式如封似闭,Unable to use martial arts and special moves.
BuffInfo_招式口是心非,Parry-10%,ปัดป้อง-10%
BuffInfo_招式日落西山,
BuffInfo_招式故步自封,
BuffInfo_招式同气连枝,Critical-10%
BuffInfo_招式抱冰握火,
BuffInfo_招式乐不思蜀,
BuffInfo_招式月明星稀,
BuffInfo_招式仪态万方,
BuffInfo_招式虚张声势,Evasion-10%,หลบหลีก-10%
BuffInfo_招式大巧不工,This Attack will Pierce the enemy's armor properties and effects.
BuffInfo_招式荡剑破兵,Weapon properties and effects are nullified.
BuffInfo_招式一剑凌云,Critical-20%
BuffInfo_招式山河色变,Movement Range reduced by 5 squares.
BuffInfo_招式见龙在田,Unable to trigger Main Internal effect.
BuffInfo_招式潜龙勿用,Unable to use martial arts and special moves.
BuffInfo_招式无中生有,This Attack will Pierce the enemy's armor properties and effects.
BuffInfo_招式动极生静,Action Speed-25%
BuffInfo_招式大成若缺,Parry-20%
BuffInfo_招式大象无形,Guaranteed to be Critically hit when Attacked.
BuffInfo_招式目眩神迷,
BuffInfo_招式虚幻泡影,
BuffInfo_招式以虚御实,Weapon properties and effects are nullified.
BuffInfo_招式傲雪凌霜,Action Speed-15%
BuffInfo_招式冰清玉洁,
BuffInfo_招式护生斩业,Critical-10%
BuffInfo_招式点穴截脉,
BuffInfo_招式灵蛇吐信,
BuffInfo_招式形销骨立,Recovery of HPMP is halved.
BuffInfo_招式啖精化气,Reduce current MP by 4% after each action.
BuffInfo_招式掩手肱捶,This Attack will Pierce the enemy's armor properties and effects.
BuffInfo_招式五毒俱全,
BuffInfo_招式沛莫能御,Parry-10%,ปัดป้อง-10%
BuffInfo_招式醉饮乾坤,Guaranteed to be Critically hit when Attacked.
BuffInfo_招式索命勾魂,
BuffInfo_招式无声无色,Action Speed-15%
BuffInfo_招式难逃生天,Guaranteed to be Critically hit when Attacked.
BuffInfo_招式无计可施,Unable to use martial arts and special moves.
BuffInfo_招式灵机一动,
BuffInfo_招式义断情绝,Recovery of HPMP is halved.
BuffInfo_招式如影随形,Evasion-10%,หลบหลีก-10%
BuffInfo_招式玉碎瓦全,Additional 15% reduction in Attack damage.
BuffInfo_招式四相合一,
BuffInfo_招式言而有信,"The armor worn by the target falls off, unable to exert its effects."
BuffInfo_招式开山裂石,
BuffInfo_招式白虹贯日,
BuffInfo_招式指天为誓,
BuffInfo_招式一指乾坤,Unable to trigger Main Internal effect.
BuffInfo_招式佛动山河,Additional 30% reduction in Attack damage.
BuffInfo_招式佛光普照,
BuffInfo_招式分金裂石,Critical-20%
BuffInfo_招式动如雷霆,
BuffInfo_招式山河裂变,Guaranteed to be Critically hit when Attacked.
BuffInfo_招式破天碎地,Attack damage fluctuates between 25%-80%.
BuffInfo_招式龙翔在天,Parry-20%
BuffInfo_招式紫气东来,
BuffInfo_招式积芒破势,This Attack will Pierce the enemy's armor properties and effects.
BuffInfo_招式融金藏锋,"Unable to act, guaranteed to be Critically hit when Attacked."
BuffInfo_招式遮云蔽日,Evasion-20%
BuffInfo_招式固步自封,Action Speed-25%
BuffInfo_招式星移斗转,Movement Range reduced by 5 squares.
BuffInfo_招式揽月九天,Reduce current MP by 5% after each action.
BuffInfo_招式开天辟地,Attack damage fluctuates between 50%-100%.
BuffInfo_招式慑服外道,Parry-10%,ปัดป้อง-10%
BuffInfo_招式龙腾四海,Additional 15% reduction in Attack damage.
BuffInfo_招式慈悲为怀,Critical-10%
BuffInfo_招式步步紧逼,
BuffInfo_招式天地初分,
BuffInfo_招式疯癫入魔,"Self is out of control, Critical+20%, Critical damage+50%, guaranteed to be Critically hit when Attacked."
BuffInfo_招式拨云见日,Critical-20%
BuffInfo_招式风起云涌,
BuffInfo_招式移星换斗,Parry-20%
BuffInfo_招式推山填海,
BuffInfo_招式一飞冲天,This Attack will Pierce the enemy's armor properties and effects.
BuffInfo_招式飞龙在天,Guaranteed to be Critically hit when Attacked.
BuffInfo_招式放下屠刀,Unable to use martial arts and special moves.
BuffInfo_招式佛渡有缘,Additional 30% reduction in Attack damage.
BuffInfo_招式力拔山河,
BuffInfo_招式死生由命,
BuffInfo_招式十步一杀,
BuffInfo_招式解甲归田,"The armor worn by the target falls off, unable to exert its effects."
BuffInfo_招式亢龙有悔,
BuffInfo_招式扶摇直上,Parry-10%,ปัดป้อง-10%
BuffInfo_招式夜叉探海,
BuffInfo_招式有凤来仪,
BuffInfo_招式走鸾飞凤,Unable to trigger Main Internal effect.
BuffInfo_招式怪蟒翻身,Unable to use martial arts and special moves.
BuffInfo_招式打蛇七寸,This Attack will Pierce the enemy's armor properties and effects.
BuffInfo_招式丢兵弃甲,"Weapon properties and effects are nullified, the armor worn by the target falls off, unable to exert its effects."
BuffInfo_招式直捣黄龙,Guaranteed to be Critically hit when Attacked.
BuffInfo_招式失魂落魄,Action Speed-25%
BuffInfo_招式销气化功,Reduce current MP by 5% after each action.
BuffInfo_招式一锤定音,Parry-10%,ปัดป้อง-10%
BuffInfo_招式千锤百炼,This Attack will Pierce the enemy's armor properties and effects.
BuffInfo_招式百转千回,
BuffInfo_招式曲高和寡,
BuffInfo_招式凄凄切切,Action Speed-15%
BuffInfo_招式触景生情,Unable to trigger Main Internal effect.
BuffInfo_招式冲冠一怒,
BuffInfo_招式舍命刺韩,This Attack will Pierce the enemy's armor properties and effects.
BuffInfo_招式梦里乞花,Reduce current MP by 4% after each action.
BuffInfo_招式叫月穿云,Recovery of HPMP is halved.
BuffInfo_招式笑看风云,
BuffInfo_招式天下无双,"Unable to use martial arts and special moves, unable to trigger Main Internal effect."
BuffInfo_招式行尸走肉,"Lost mind, assist the enemy in Attacking own team."
BuffInfo_招式神失梦迷,"Guaranteed to be Critically hit when Attacked, and immediately sober up."
BuffInfo_招式秋月无边,
BuffInfo_招式一世情缘,
BuffInfo_招式怒发冲冠,
BuffInfo_招式靖康雪耻,This Attack will Pierce the enemy's armor properties and effects.
BuffInfo_招式四面楚歌,Movement Range reduced by 5 squares.
BuffInfo_招式腹背受敌,Guaranteed to be Critically hit when Attacked.
BuffInfo_招式处之泰然,
BuffInfo_招式泼墨如雨,Parry-10%,ปัดป้อง-10%
BuffInfo_招式苦雨萧瑟,Critical-10%
BuffInfo_招式愿者上钩,Weapon properties and effects are nullified.
BuffInfo_招式乡明而治,
BuffInfo_招式清泉临石,
BuffInfo_招式烟波浩渺,
BuffInfo_招式沧海一粟,This Attack will Pierce the enemy's armor properties and effects.
BuffInfo_招式气象万千,Additional 30% reduction in Attack damage.
BuffInfo_招式绝代风华,Unable to trigger Main Internal effect.
BuffInfo_招式呼之欲出,
BuffInfo_招式银光乍现,
BuffInfo_招式风驰电掣,Movement Range reduced by 3 squares.
BuffInfo_招式以杀止杀,This Attack will Pierce the enemy's armor properties and effects.
BuffInfo_招式视死如归,Guaranteed to be Critically hit when Attacked.
BuffInfo_招式飞沙走石,
BuffInfo_招式儒雅风流,
BuffInfo_招式罢黜百家,
BuffInfo_招式随心所欲,Evasion-10%,หลบหลีก-10%
BuffInfo_招式不战屈人,Unable to use martial arts and special moves.
BuffInfo_招式以理服人,Unable to trigger Main Internal effect.
BuffInfo_招式流连忘返,Action Speed-25%
BuffInfo_招式望穿秋水,"Lost mind, assist the enemy in Attacking own team."
BuffInfo_招式狼捕食,
BuffInfo_招式碎骨击,Additional 15% reduction in Attack damage.
BuffInfo_招式千斤顶,
BuffInfo_招式狂犬吠,
BuffInfo_招式斗鸡啄,
BuffInfo_招式蝎尾刺,
BuffInfo_招式蛇牙毒,
BuffInfo_招式百爪千挠,
BuffInfo_内功_玄煞劲,"Within a range of 2 squares of self, the enemy's energy value decreases by 50 after each action."
BuffInfo_内功_玄煞劲_光环,"Affected by the enemy's Nether Killing Force, energy value decreases by 50 after each action."
BuffInfo_内功_乱环诀,"After triggering Parry in battle, the next action Increases Damage by 25%."
BuffInfo_内功_金钟罩,Decreases Damage received by 20% after entering battle.
BuffInfo_内功_摄心术,10% chance to Charm the target during an Attack.
BuffInfo_内功_龙虎功,Increases Damage by 15% and Defense by 15% after entering battle.
BuffInfo_内功_莽牛劲,Critical+10% after entering battle.
BuffInfo_内功_投石术,Inflict an additional 20% damage when using Throwing in battle.
BuffInfo_内功_腐毒功,"Within a range of 2 squares of self, the enemy is inflicted with 5 points of Poisoned after each action."
BuffInfo_内功_腐毒功_光环,"Gain the effect of Decay, inflict 5 points of Poisoned after each action."
BuffInfo_内功_汗青集,Gain 10 points of energy value each time you are Attacked in battle.
BuffInfo_内功_御兽术,
BuffInfo_内功_金匮要略,"After entering battle, each use of Heal has a 25% chance to double the effect."
BuffInfo_内功_调息法,"After each action, recover 10% of maximum MP, up to 35 points of MP."
BuffInfo_内功_冰魄功,25% chance to reduce the enemy's energy value by 100 when Attacking in battle.
BuffInfo_内功_拳掌要诀,"After entering battle, using Fist type martial arts Increases Damage by 20%."
BuffInfo_内功_剑法典籍,"After entering battle, using Sword type martial arts Increases Damage by 20%."
BuffInfo_内功_刀术秘卷,"After entering battle, using Blade type martial arts Increases Damage by 20%."
BuffInfo_内功_长兵纪要,"After entering the battle, use Long type martial arts, Increases Damage by 20%."
BuffInfo_内功_短兵汇编,"After entering the battle, use Short type martial arts, Increases Damage by 20%."
BuffInfo_内功_乐谱精粹,"After entering the battle, use Musical type martial arts, Increases Damage by 20%."
BuffInfo_内功_儒雅风流,"Each time an enemy is attacked, the combat spirit gained by the enemy from this attack is reduced by 50%."
BuffInfo_内功_吐故纳新术,
BuffInfo_内功_混元劲,"During the battle, the MP Cost of using martial arts is reduced by 25%."
BuffInfo_内功_胎息功,"After entering the battle, each Attack has a 30% chance to Recovery 5% of maximum HP, up to 50 HP."
BuffInfo_内功_五禽戏,
BuffInfo_内功_破甲劲,"After entering the battle, Increases Damage by 25%."
BuffInfo_内功_凌波诀,"After entering the battle, Action Speed +5."
BuffInfo_内功_回春术,"After each action, Recovery 5% of maximum HP, up to 50 HP."
BuffInfo_内功_捕风诀,"After entering the battle, Movement Range increases by 1 square."
BuffInfo_内功_叶家心法,"After entering the battle, Critical +15%."
BuffInfo_内功_雾隐术,"After entering the battle, Evasion +15%.",หลังจากเข้าสู้การต่อสู้ หลบหลีก+15%
BuffInfo_内功_多情诀,"After entering the battle, Attack against females increases by 20%, Defense against female Attack increases by 20%."
BuffInfo_内功_铁浮屠,"After entering the battle, Critical +10%, Parry +10%."
BuffInfo_内功_淬毒术,"After entering the battle, each Attack inflicts 5 points of Poisoned on the enemy."
BuffInfo_内功_永字八法,"When equipped with a pen-type Weapon, Attack damage increases by an additional 15%, Critical +5%, Parry +5%, Accuracy +10%."
BuffInfo_内功_叹息法,"When attacking, if your HP is above 50%, for every 2% increase, your attack damage increases by 1%; when being attacked, if your HP is below 50%, for every 2% decrease, the damage you receive decreases by 1%."
BuffInfo_内功_逆经转脉,
BuffInfo_内功_太极玄,"Each time you are attacked, there is a 30% chance to Recovery 5% of maximum MP, up to 100 points, while the attacker loses 5% of current MP, up to 150 points."
BuffInfo_内功_横练金身,"After entering the battle, damage taken from Attack is reduced by 35%."
BuffInfo_内功_飞刀秘传,"During the battle, using Throwing will definitely Accuracy, definitely Critical."
BuffInfo_内功_五毒秘法,"When attacking, inflict <#FE2929>8 points of Poisoned</color> on the enemy; when being attacked, inflict <#FE2929>8 points of Poisoned</color> on the attacker."
BuffInfo_内功_五毒秘法_光环,"Affected by the enemy's Five Poisons Secret Move, you will be inflicted with 5 points of Poisoned after each action."
