﻿UI_InstantKill,Instant death,เสียชีวิตทันที
UIMenuPanel_UIPack_Package_menu_Map_Text(TMP)(1),Map,แผนที่
UIMenuPanel_UIPack_Package_menu_Other_Text(TMP),Other,อื่นๆ
UIMenuPanel_UIPack_Package_menu_Other_Text(TMP)(1),Other,อื่นๆ
UIMenuPanel_UIPack_Package_Nothing_Image_Text(TMP),"Hero, your inventory is empty!",ท่านจอมยุทธ์ กระเป๋าของท่านว่างเปล่า!
UIMenuPanel_UIMartialArts_SkillPanel_SkillPanel_Name,Kitty Eighteen Palms,ฝ่ามือสิบแปดแมวเหมียว
UIMenuPanel_UIMartialArts_SkillPanel_SkillPanel_State,Already in battle,ใช้ในการต่อสู้
UIMenuPanel_UIMartialArts_MartialArts_KongFu_Title,Learned martial arts,วรยุทธที่เรียนรู้
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_1_Name,Kitty Eighteen Palms,ฝ่ามือสิบแปดแมวเหมียว
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_1_Lv,First level,ระดับแรก
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_1_State,Running,กำลังใช้งาน
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_1_NotOpen_Text(TMP),Not open,ไม่เปิด
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_1_waigong_Text(TMP),EXT,ภายนอก
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_1_neigong_Text(TMP),INT,ภายใน
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_2_Name,Kitty Eighteen Palms,ฝ่ามือสิบแปดแมวเหมียว
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_2_Lv,First level,ระดับแรก
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_2_State,Running,กำลังใช้งาน
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_2_NotOpen_Text(TMP),Not open,ไม่เปิด
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_2_waigong_Text(TMP),EXT,ภายนอก
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_2_neigong_Text(TMP),INT,ภายใน
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_3_Name,Kitty Eighteen Palms,ฝ่ามือสิบแปดแมวเหมียว
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_3_Lv,First level,ระดับแรก
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_3_State,Running,กำลังใช้งาน
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_3_NotOpen_Text(TMP),Not open,ไม่เปิด
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_3_waigong_Text(TMP),EXT,ภายนอก
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_3_neigong_Text(TMP),INT,ภายใน
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_4_Name,Kitty Eighteen Palms,ฝ่ามือสิบแปดแมวเหมียว
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_4_Lv,First level,ระดับแรก
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_4_State,Running,กำลังใช้งาน
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_4_NotOpen_Text(TMP),Not open,ไม่เปิด
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_4_waigong_Text(TMP),EXT,ภายนอก
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_4_neigong_Text(TMP),INT,ภายใน
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_5_Name,Kitty Eighteen Palms,ฝ่ามือสิบแปดแมวเหมียว
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_5_Lv,First level,ระดับแรก
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_5_State,Running,กำลังใช้งาน
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_5_NotOpen_Text(TMP),Not open,ไม่เปิด
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_5_waigong_Text(TMP),EXT,ภายนอก
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_5_neigong_Text(TMP),INT,ภายใน
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_6_Name,Kitty Eighteen Palms,ฝ่ามือสิบแปดแมวเหมียว
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_6_Lv,First level,ระดับแรก
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_6_State,Running,กำลังใช้งาน
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_6_NotOpen_Text(TMP),Not open,ไม่เปิด
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_6_waigong_Text(TMP),EXT,ภายนอก
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_6_neigong_Text(TMP),INT,ภายใน
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_7_Name,Kitty Eighteen Palms,ฝ่ามือสิบแปดแมวเหมียว
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_7_Lv,First level,ระดับแรก
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_7_State,Running,กำลังใช้งาน
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_7_NotOpen_Text(TMP),Not open,ไม่เปิด
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_7_waigong_Text(TMP),EXT,ภายนอก
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_7_neigong_Text(TMP),INT,ภายใน
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_8_Name,Kitty Eighteen Palms,ฝ่ามือสิบแปดแมวเหมียว
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_8_Lv,First level,ระดับแรก
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_8_State,Running,กำลังใช้งาน
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_8_NotOpen_Text(TMP),Not open,ไม่เปิด
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_8_waigong_Text(TMP),EXT,ภายนอก
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_8_neigong_Text(TMP),INT,ภายใน
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_9_Name,Kitty Eighteen Palms,ฝ่ามือสิบแปดแมวเหมียว
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_9_Lv,First level,ระดับแรก
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_9_State,Running,กำลังใช้งาน
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_9_NotOpen_Text(TMP),Not open,ไม่เปิด
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_9_waigong_Text(TMP),EXT,ภายนอก
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_9_neigong_Text(TMP),INT,ภายใน
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_10_Name,Kitty Eighteen Palms,ฝ่ามือสิบแปดแมวเหมียว
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_10_Lv,First level,ระดับแรก
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_10_State,Running,กำลังใช้งาน
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_10_NotOpen_Text(TMP),Not open,ไม่เปิด
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_10_waigong_Text(TMP),EXT,ภายนอก
UIMenuPanel_UIMartialArts_MartialArts_KongFu_KongFu_10_neigong_Text(TMP),INT,ภายใน
UIMenuPanel_UIMartialArts_MartialArts_UniqueSkill_Title,Mastered ultimate move,ท่าไม้ตายที่เชี่ยวชาญ
UIMenuPanel_UIMartialArts_SetUp_UniqueSkill_Title,Battle ultimate move,ท่าไม้ตาย
UIMenuPanel_UIMartialArts_SetUp_UniqueSkill_NoThing_Text(TMP),--Select Super Move--,--เลือกท่าไม้ตาย--
UIMenuPanel_UIMartialArts_SetUp_UniqueSkill_SomeThing_Name_txt,Kitty Eighteen Palms,ฝ่ามือสิบแปดแมวเหมียว
UIMenuPanel_UIMartialArts_SetUp_UniqueSkill_SomeThing_Effect,Super Move effect,ประสิทธิภาพท่าไม้ตาย
UIMenuPanel_UIMartialArts_SetUp_UniqueSkill_SomeThing_Effect_txt,All characters within a radius of 2 squares of oneself suffer 1/8 of maximum HP damage and are dispersed to nearby empty spaces.,ตัวละครที่อยู่ในระยะ 2 ช่องจะได้รับความเสียหาย 1 ส่วน 8 ของพลังชีวิตสูงสุด และกระเด็นไปยังพื้นที่ว่างโดยรอบ
UIMenuPanel_UIMartialArts_SetUp_neigong_Title,Main internal skill,กำลังภายในหลัก
UIMenuPanel_UIMartialArts_SetUp_neigong_NoThing_Text(TMP),--Select Internal technique--,--เลือกทักษะกำลังภายใน--
UIMenuPanel_UIMartialArts_SetUp_neigong_SomeThing_Name_Text(TMP),Kitty Eighteen Palms,ฝ่ามือสิบแปดแมวเหมียว
UIMenuPanel_UIMartialArts_SetUp_neigong_SomeThing_Effect,Main Internal effect,ประสิทธิภาพกำลังภายในหลัก
UIMenuPanel_UIMartialArts_SetUp_xiulian_Title,Learn manual,เรียนรู้ตำรา
UIMenuPanel_UIMartialArts_SetUp_xiulian_NoThing_Text(TMP),--Select Manual--,--เลือกตำรา--
UIMenuPanel_UIMartialArts_SetUp_xiulian_SomeThing_Quality_Name_Text(TMP),Kitty manual,คู่มือแมว
UIMenuPanel_UIMartialArts_SetUp_xiulian_SomeThing_FullLevel,Manual has been learned to the highest level,ตำราได้รับการเรียนรู้ถึงระดับสูงสุดแล้ว
UIMenuPanel_UIMartialArts_SetUp_xiulian_SomeThing_Level,Kitty Eighteen Palms,ฝ่ามือสิบแปดแมวเหมียว
UIMenuPanel_UIMartialArts_SetUp_xiulian_SomeThing_Level_Level,First level,ระดับแรก
UIMenuPanel_UIMartialArts_SetUp_xiulian_SomeThing_Level_NoLevel,Learning,กำลังเรียน
UIMenuPanel_UIMartialArts_SetUp_xiulian_SomeThing_Level_jiangyan,EXP,ค่าประสบการณ์
UIMenuPanel_UIMartialArts_SetUp_xiulian_SomeThing_Level_jiangyan_txt,10000/10000,10000/10000
UIMenuPanel_UIMartialArts_SetUp_xiulian_SomeThing_Effect_Text(TMP),Next level effect,ผลของระดับถัดไป
UIMenuPanel_UIMartialArts_SetUp_xiulian_SomeThing_Effect_waigong_weili,Power,พลัง
UIMenuPanel_UIMartialArts_SetUp_xiulian_SomeThing_Effect_waigong_weili_txt,200,200
UIMenuPanel_UIMartialArts_SetUp_xiulian_SomeThing_Effect_waigong_shuxing,Attribute bonus,คุณสมบัติเพิ่มเติม
UIMenuPanel_UIMartialArts_SetUp_xiulian_SomeThing_Effect_waigong_shuixing_txt,          ,
UIMenuPanel_UIMartialArts_SetUp_xiulian_SomeThing_Effect_neigong_shuxing,Attribute bonus,คุณสมบัติเพิ่มเติม
UIMenuPanel_UIMartialArts_SetUp_xiulian_SomeThing_Effect_neigong_shuixing_txt,"MP+20, HP+20, Defense+20","MP+20, HP+20, ป้องกัน+20"
UIMenuPanel_UIMartialArts_SelectPanel_head_penel_txt,Select Super Move,เลือกท่าไม้ตาย
UIMenuPanel_UIMartialArts_SelectPanel_Button_Text(TMP),Confirm,ยืนยัน
UIMenuPanel_NewAcupoint_Acupoint_env_Info_JmInfo_txt,Current effect,ผลปัจจุบัน
UIMenuPanel_NewAcupoint_Acupoint_env_Info_JmInfo_datongshuxing,Potential +1,ศักยภาพ +1
UIMenuPanel_NewAcupoint_Acupoint_env_Info_JmInfo_Big_tag,Unblocking effect:,เปิดเอฟเฟกต์:
UIMenuPanel_NewAcupoint_Acupoint_env_Info_JmInfo_Big_info,There is a 30% chance to convert 20% of the damage into one's own HP.,มีโอกาส 30% ที่จะเปลี่ยน 20% ของความเสียหายเป็นพลังชีวิต
UIMenuPanel_NewAcupoint_Acupoint_env_Info_JmInfo_shuxing,Critical rate +50%,อัตราคริติคอล +50%
UIMenuPanel_NewAcupoint_Acupoint_env_Info_JmInfo_btn_txt,Comprehend,เรียนรู้
UIMenuPanel_NewAcupoint_Acupoint_env_Info_JmInfo_isDatong_Text(TMP),Comprehended,เรียนรู้แล้ว
UIMenuPanel_NewAcupoint_Acupoint_env_Info_JmInfo_chongxue,Consume <color=#56FF62>{0}</color> Comprehension Points,ใช้แต้มเรียนรู้ <color=#56FF62>{0}</color> แต้ม
UIMenuPanel_NewAcupoint_Acupoint_env_Info_JmInfo_chongxue_index,1,1
UIMenuPanel_NewAcupoint_Acupoint_chongxuedian_tag,Current Comprehension Points,แต้มเรียนรู้ปัจจุบัน
UIMenuPanel_NewAcupoint_Acupoint_chongxuedian_num,99,99
UIMenuPanel_NewAcupoint_JingMaiTag_dong_name,Wind,ลม
UIMenuPanel_NewAcupoint_JingMaiTag_dong_selectImg_name,Wind,ลม
UIMenuPanel_NewAcupoint_JingMaiTag_jing_name,Mountain,เขา
UIMenuPanel_NewAcupoint_JingMaiTag_jing_selectImg_name,Mountain,เขา
UIMenuPanel_NewAcupoint_JingMaiTag_gang_name,Fire,เพลิง
UIMenuPanel_NewAcupoint_JingMaiTag_gang_selectImg_name,Fire,เพลิง
UIMenuPanel_NewAcupoint_JingMaiTag_rou_name,Forest,ป่า
UIMenuPanel_NewAcupoint_JingMaiTag_rou_selectImg_name,Forest,ป่า
UIMenuPanel_NewAcupoint_JingMaiTag_xu_name,Yin,ราตรี
UIMenuPanel_NewAcupoint_JingMaiTag_xu_selectImg_name,Yin,ราตรี
UIMenuPanel_NewAcupoint_JingMaiTag_shi_name,Thunder,อัสนี
UIMenuPanel_NewAcupoint_JingMaiTag_shi_selectImg_name,Thunder,อัสนี
UIMenuPanel_UIStoryNote_left_img_textbg_Text(TMP),A maximum of 3 event tasks can be tracked simultaneously,สามารถติดตามภารกิจพร้อมกันได้สูงสุด 3 ภารกิจ
UIMenuPanel_UIStoryNote_left_ToggleGroup_btn_name,Story,เรื่องราว
UIMenuPanel_UIStoryNote_left_ToggleGroup_btn(1)_name,Rumor,ข่าวลือ
UIMenuPanel_UIStoryNote_left_ToggleGroup_btn(2)_name,Bounty,ค่าหัว
UIMenuPanel_UIStoryNote_left_ToggleGroup_btn(3)_name,Archive,บันทึกสำคัญ
UIMenuPanel_UIStoryNote_right_right0_txtTitle,Storyline Title,ชื่อเรื่อง
UIMenuPanel_UIStoryNote_right_right0_Scroll_Viewport_boxScrollArea_text,Storyline Content Storyline Content Storyline Content Storyline Content Storyline Content Storyline Content Storyline Content Storyline Content Storyline Content,เนื้อหา โครงเรื่อง เนื้อหา โครงเรื่อง เนื้อหา โครงเรื่อง เนื้อหา โครงเรื่อง เนื้อหา โครงเรื่อง เนื้อหา โครงเรื่อง เนื้อหา โครงเรื่อง เนื้อหา โครงเรื่อง เนื้อหา โครงเรื่อง เนื้อหา โครงเรื่อง เนื้อหา
UIMenuPanel_UIStoryNote_right_right0_Scroll_Viewport_boxScrollArea_text_old,"Storyline Content Storyline Content Storyline\n\nContent Storyline Content Storyline Content Storyline Content Storyline Content Storyline Content Storyline\nContent Storyline Content Content Storyline Content Content Storyline Content Content Storyline Content Content Storyline Content Content Storyline Content Content Storyline Content Content Storyline Content Content Storyline Content",เนื้อหาโครงเรื่อง
UIMenuPanel_UIStoryNote_right_right1_txtTitle,Clear the bandits outside Lin'an City,กวาดล้างโจรนอกเมืองหลินอัน
UIMenuPanel_UIStoryNote_right_right1_Scroll_Viewport_boxScrollArea_text,Storyline Content Storyline Content Storyline Content Storyline Content Storyline Content Storyline Content Storyline Content Storyline Content Storyline Content,เนื้อหา โครงเรื่อง เนื้อหา โครงเรื่อง เนื้อหา โครงเรื่อง เนื้อหา โครงเรื่อง เนื้อหา โครงเรื่อง เนื้อหา โครงเรื่อง เนื้อหา โครงเรื่อง เนื้อหา โครงเรื่อง เนื้อหา โครงเรื่อง เนื้อหา โครงเรื่อง เนื้อหา
UIMenuPanel_UIStoryNote_right_right1_Scroll_Viewport_boxScrollArea_txtAim,Kill the bandit leader,สังหารหัวหน้าโจร
UIMenuPanel_UIStoryNote_right_right1_Scroll_Viewport_boxScrollArea_txtAim_Text,Target:,เป้าหมาย:
UIMenuPanel_UIStoryNote_right_right1_Scroll_Viewport_boxScrollArea_txtTimeLimit,3 days 3 shichen,3 วัน 3 ชั่วยาม
UIMenuPanel_UIStoryNote_right_right1_Scroll_Viewport_boxScrollArea_txtTimeLimit_Text,Remaining Time:,เวลาที่เหลืออยู่:
UIMenuPanel_UIStoryNote_right_right1_Scroll_Viewport_boxScrollArea_txtPrize,"Trustworthy+2, Lin'an City Relations+5","ความน่าเชื่อถือ +2 ,ความสัมพันธ์ ของเมืองหลินอัน +5"
UIMenuPanel_UIStoryNote_right_right1_Scroll_Viewport_boxScrollArea_boxPrizeItem_0_Text(TMP),2,2
UIMenuPanel_UIStoryNote_right_right1_Scroll_Viewport_boxScrollArea_boxPrizeItem_1_Text(TMP),2,2
UIMenuPanel_UIStoryNote_right_right1_Scroll_Viewport_boxScrollArea_boxPrizeItem_2_Text(TMP),2,2
UIMenuPanel_UIStoryNote_right_right1_Scroll_Viewport_boxScrollArea_boxPrizeItem_3_Text(TMP),2,2
UIMenuPanel_UIStoryNote_right_right1_Scroll_Viewport_boxScrollArea_btnCommand_text,Abandon,ละทิ้ง
UIMenuPanel_UIStoryNote_right_right1_Scroll_Viewport_boxScrollArea_txtTip,"The commissioned task has been completed, please return to X to submit the task",ภารกิจที่ได้รับสำเร็จแล้ว กลับไปยัง X เพื่อส่งภารกิจ
